clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,230,200,12,137.4758,114
200,10000,10000,100%,197,172,6,113.5274,1046
300,15000,15000,100%,265,220,4,148.75166666666667,1071
400,20000,20000,100%,324,280,13,182.65455,1057
500,25000,25000,100%,291,242,18,150.40496,1043
600,30000,30000,100%,394,326,19,198.6413,1056
700,35000,35000,100%,482,332,120,230.99622857142856,1055
800,40000,40000,100%,461,435,98,258.12225,1069
900,45000,45000,100%,530,474,21,283.4639555555556,1066
1000,50000,50000,100%,559,489,21,308.67248,1088
1100,55000,55000,100%,3331,3296,23,350.32996363636363,1098
1200,60000,60000,100%,676,631,20,372.91766666666666,1084
1300,65000,65000,100%,758,722,11,410.90596923076924,1062
1400,70000,70000,100%,796,742,16,436.9911142857143,1100
1500,75000,75000,100%,861,802,28,470.52978666666667,1103
1600,80000,80000,100%,936,888,33,512.60255,1083
1700,85000,85000,100%,1011,951,27,545.0104470588235,1095
1800,90000,90000,100%,1054,989,28,568.8166111111111,1103
1900,95000,95000,100%,1197,1139,33,637.8453684210526,1125
2000,100000,100000,100%,1183,1084,32,640.80638,1106
2100,105000,105000,100%,1255,1201,14,683.7138380952381,1107
2200,110000,110000,100%,1326,1255,26,712.2077363636364,1116
2300,115000,115000,100%,1396,1290,143,748.4554695652174,1125
2400,120000,120000,100%,1413,1318,14,734.5981166666667,1113
2500,125000,125000,100%,1459,1333,29,758.683688,1129
2600,130000,130000,100%,1581,1452,35,810.9719692307692,1150
2700,135000,135000,100%,1540,1385,44,801.7655629629629,1152
2800,140000,140000,100%,1777,1708,48,960.0872071428571,1142
2900,145000,145000,100%,1730,1602,28,907.3899862068965,1147
3000,150000,150000,100%,1723,1563,35,906.3285466666666,1140
3100,155000,155000,100%,1928,1838,49,1030.833406451613,1156
3200,160000,160000,100%,1999,1875,50,1038.25609375,1156
3300,165000,165000,100%,2063,1781,36,1098.6874424242424,1166
3400,170000,170000,100%,1993,1847,28,1065.922782352941,1165
3500,175000,175000,100%,2053,1800,37,1056.28748,1173
3600,180000,180000,100%,2214,1986,54,1131.5448722222222,1196
3700,185000,185000,100%,2449,2381,45,1316.7783297297296,1156
3800,190000,190000,100%,2261,2041,31,1167.8420315789474,1200
3900,195000,195000,100%,2328,2135,38,1194.3557128205127,1189
4000,200000,200000,100%,2496,2346,27,1335.093965,1193
4100,205000,205000,100%,2451,2181,25,1267.2605756097562,1207
4200,210000,210000,100%,2401,2117,31,1257.273838095238,1213
4300,215000,215000,100%,2692,2501,43,1441.310130232558,1239
4400,220000,220000,100%,2726,2493,33,1422.8288681818183,1252
4500,225000,225000,100%,2793,2544,37,1464.2535822222221,1278
4600,230000,230000,100%,2954,2796,53,1587.0037826086957,1285
4700,235000,235000,100%,2940,2695,58,1532.9942510638298,1268
4800,240000,240000,100%,3048,2788,55,1611.0189791666667,1278
4900,245000,245000,100%,3085,2821,59,1619.4187918367347,1273
5000,250000,250000,100%,3400,3217,66,1806.736916,1259
5100,255000,255000,100%,3399,3093,70,1769.2512980392157,1276
5200,260000,260000,100%,3760,3379,101,1944.4658615384615,1274
5300,265000,265000,100%,3944,3593,123,2068.5837320754717,1280
5400,270000,270000,100%,3548,2898,107,1855.9988592592592,1052
5500,275000,275000,100%,4050,3805,122,2139.0980654545456,1255
5600,280000,280000,100%,3997,3735,128,2120.77235,1317
5700,285000,285000,100%,4119,3843,128,2193.61309122807,1287
5800,290000,290000,100%,4409,4228,131,2389.3427689655173,1277
5900,295000,295000,100%,4104,3746,123,2146.951874576271,1357
6000,300000,300000,100%,4305,3980,136,2255.6205966666666,1269
6100,305000,305000,100%,4576,4332,137,2492.4998852459016,1265
6200,310000,310000,100%,4468,4149,142,2363.649935483871,1317
6300,315000,315000,100%,4745,4487,146,2584.1172698412697,1279
6400,320000,320000,100%,4637,4300,144,2452.690321875,1369
6500,325000,325000,100%,4881,4539,149,2634.017116923077,1289
6600,330000,330000,100%,4929,4540,144,2597.742660606061,1299
6700,335000,335000,100%,5101,4789,156,2758.036958208955,1360
6800,340000,340000,100%,5310,4899,141,2846.685311764706,1316
6900,345000,345000,100%,5402,5132,164,2963.580953623188,1054
7000,350000,350000,100%,5233,4879,163,2778.3107171428574,1357
