clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,181,179,18,91.732,63
200,10000,10000,100%,178,177,4,97.115,54
300,15000,15000,100%,253,253,3,128.5622,52
400,20000,20000,100%,279,279,3,150.79135,31
500,25000,25000,100%,340,339,6,181.21976,53
600,30000,30000,100%,394,393,6,213.8313,32
700,35000,35000,100%,477,476,7,260.2471428571429,34
800,40000,40000,100%,552,551,7,294.3223,28
900,45000,45000,100%,621,619,4,329.59295555555553,27
1000,50000,50000,100%,673,672,5,360.16858,32
1100,55000,55000,100%,725,723,9,395.62530909090907,59
1200,60000,60000,100%,804,802,21,439.48775,34
1300,65000,65000,100%,866,864,19,464.16893846153846,33
1400,70000,70000,100%,926,923,12,497.64694285714285,22
1500,75000,75000,100%,992,990,27,533.2368133333333,25
1600,80000,80000,100%,1068,1065,14,572.4686875,31
1700,85000,85000,100%,1157,1156,34,619.5627764705882,27
1800,90000,90000,100%,1197,1193,17,638.6307777777778,26
1900,95000,95000,100%,1282,1280,12,681.4771052631579,35
2000,100000,100000,100%,1280,1277,14,666.71153,23
2100,105000,105000,100%,1413,1410,25,758.4225047619047,47
2200,110000,110000,100%,1464,1409,10,783.3367181818181,32
2300,115000,115000,100%,1498,1494,11,781.7926521739131,21
2400,120000,120000,100%,1605,1602,17,834.1455583333334,33
2500,125000,125000,100%,1700,1693,14,903.789384,24
2600,130000,130000,100%,1699,1695,24,884.8756153846153,26
2700,135000,135000,100%,1866,1858,24,965.7960518518519,27
2800,140000,140000,100%,1806,1802,30,942.7106857142857,29
2900,145000,145000,100%,1993,1984,33,1046.1080068965516,22
3000,150000,150000,100%,1981,1975,36,1037.6571133333334,24
3100,155000,155000,100%,2074,2070,39,1077.1341870967742,26
3200,160000,160000,100%,2197,2192,40,1145.6667125,23
3300,165000,165000,100%,2204,2199,41,1148.1672303030302,21
3400,170000,170000,100%,2332,2327,42,1210.9464117647058,20
3500,175000,175000,100%,2387,2381,18,1260.21208,69
3600,180000,180000,100%,2377,2370,42,1218.70235,26
3700,185000,185000,100%,2455,2449,47,1283.4757297297297,31
3800,190000,190000,100%,2519,2512,20,1301.5592315789474,25
3900,195000,195000,100%,2634,2627,45,1404.7373538461538,24
4000,200000,200000,100%,2653,2646,50,1393.854935,23
4100,205000,205000,100%,2704,2698,24,1407.4780731707317,39
4200,210000,210000,100%,2850,2844,49,1529.437838095238,19
4300,215000,215000,100%,2917,2906,54,1525.3038930232558,23
4400,220000,220000,100%,2986,2979,26,1553.3990090909092,22
4500,225000,225000,100%,3179,3171,63,1670.1990533333333,24
4600,230000,230000,100%,3192,3188,20,1618.4774782608695,22
4700,235000,235000,100%,3219,3212,57,1678.5276,22
4800,240000,240000,100%,3500,3358,32,1831.7735958333333,23
4900,245000,245000,100%,3387,3374,38,1743.6238326530613,53
5000,250000,250000,100%,3475,3468,46,1797.75166,24
5100,255000,255000,100%,3768,3763,24,1936.7054431372549,25
5200,260000,260000,100%,3681,3673,22,1884.5371269230768,21
5300,265000,265000,100%,3784,3775,55,1956.8445849056604,29
5400,270000,270000,100%,3882,3878,27,2065.2909074074073,19
5500,275000,275000,100%,3925,3734,23,2029.6758763636365,24
5600,280000,280000,100%,4104,3908,23,2148.878317857143,21
5700,285000,285000,100%,4046,3844,25,2091.849849122807,29
5800,290000,290000,100%,4263,4261,32,2242.2850689655174,25
