clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,153,147,16,79.6516,94
200,10000,10000,100%,277,224,4,146.3566,76
300,15000,15000,100%,420,341,4,224.729,91
400,20000,20000,100%,563,461,5,300.4887,52
500,25000,25000,100%,697,588,3,383.18936,81
600,30000,30000,100%,851,710,224,460.1498,50
700,35000,35000,100%,986,814,5,534.3322,47
800,40000,40000,100%,1125,945,45,613.925925,77
900,45000,45000,100%,1258,1062,6,686.8638,55
1000,50000,50000,100%,1425,1177,7,774.11556,65
1100,55000,55000,100%,1530,1327,9,855.820890909091,81
1200,60000,60000,100%,1697,1429,10,929.8202,112
1300,65000,65000,100%,1863,1551,13,1008.3288153846154,59
1400,70000,70000,100%,1984,1680,8,1089.8009285714286,51
1500,75000,75000,100%,2141,1852,12,1195.40128,124
1600,80000,80000,100%,2264,1936,586,1250.2847375,54
1700,85000,85000,100%,2446,2050,13,1338.7404117647059,59
1800,90000,90000,100%,2578,2179,10,1410.6216444444444,141
1900,95000,95000,100%,2719,2319,8,1478.5196736842106,72
2000,100000,100000,100%,2884,2440,7,1580.23535,60
2100,105000,105000,100%,2981,2553,14,1635.4186571428572,198
2200,110000,110000,100%,3174,2751,14,1767.8878818181818,62
2300,115000,115000,100%,3476,2943,16,1937.4053739130434,59
2400,120000,120000,100%,3507,2900,15,1897.120075,74
2500,125000,125000,100%,3736,3225,8,2007.540504,65
2600,130000,130000,100%,3766,3243,19,2072.760230769231,60
2700,135000,135000,100%,4072,3450,11,2193.075651851852,75
2800,140000,140000,100%,4027,3414,11,2199.6566785714285,73
2900,145000,145000,100%,4437,3687,21,2356.6949655172416,52
3000,150000,150000,100%,4413,3674,41,2398.3433133333333,62
3100,155000,155000,100%,4758,4019,31,2613.0481419354837,61
3200,160000,160000,100%,4733,3974,37,2575.4458125,72
3300,165000,165000,100%,4868,4206,48,2680.474781818182,258
3400,170000,170000,100%,5240,4513,54,2908.6196823529413,73
3500,175000,175000,100%,5174,4317,63,2842.6067657142858,82
3600,180000,180000,100%,5446,4595,67,3077.8387166666666,71
3700,185000,185000,100%,5886,5100,16,3311.5788594594596,163
3800,190000,190000,100%,5653,4821,17,3048.2072,49
3900,195000,195000,100%,5795,4880,70,3146.2982974358974,306
4000,200000,200000,100%,6121,5275,11,3280.252095,614
4100,205000,205000,100%,6338,5429,22,3379.678912195122,95
4200,210000,210000,100%,6617,5695,72,3563.3573523809523,48
4300,215000,215000,100%,6724,5820,19,3600.7450790697676,116
4400,220000,220000,100%,6561,5554,79,3589.8626,89
4500,225000,225000,100%,7140,6042,24,3776.8326755555554,390
4600,230000,230000,100%,6777,5807,81,3731.0259217391304,109
4700,235000,235000,100%,7056,5871,17,3810.647561702128,104
4800,240000,240000,100%,7618,6546,81,4091.1593666666668,404
4900,245000,245000,100%,7594,6509,21,4092.294236734694,207
5000,250000,250000,100%,7764,6788,29,4214.304112,366
5100,255000,255000,100%,8128,6807,87,4402.8642,110
5200,260000,260000,100%,8138,6955,24,4484.614169230769,122
5300,265000,265000,100%,8249,6933,22,4431.733716981132,48
5400,270000,270000,100%,8453,7535,33,4851.656455555555,168
5500,275000,275000,100%,8887,7893,26,5053.938287272727,249
5600,280000,280000,100%,8635,7483,23,4936.7195357142855,398
5700,285000,285000,100%,8803,7264,13,4772.004607017544,607
5800,290000,290000,100%,9145,7735,33,4818.282379310345,314
5900,295000,295000,100%,9478,8049,36,5116.372298305085,160
6000,300000,300000,100%,9559,7604,40,4924.48083,132
6100,305000,305000,100%,9815,8360,47,5139.944239344262,120
6200,310000,310000,100%,9350,7896,115,5050.135812903226,50
6300,315000,315000,100%,10349,8525,23,5320.548765079365,53
6400,320000,320000,100%,10409,8604,50,5340.277540625,67
6500,325000,325000,100%,11132,9418,2584,5621.653907692307,110
6600,330000,330000,100%,10835,9242,47,5696.906360606061,58
6700,335000,335000,100%,11550,9937,43,6096.678865671642,146
6800,340000,340000,100%,11071,9532,137,5890.747676470588,192
6900,345000,345000,100%,11248,9608,136,6024.753756521739,591
7000,350000,350000,100%,11797,10203,142,6445.8111,150
7100,355000,355000,100%,12213,10792,140,6591.432338028169,241
7200,360000,360000,100%,11570,9942,29,6337.755544444444,671
7300,365000,365000,100%,12231,10472,140,6920.399052054794,294
7400,370000,370000,100%,12018,10369,2873,6521.968318918919,1320
7500,375000,375000,100%,12672,10946,143,6924.495312,136
7600,380000,380000,100%,12905,10794,30,6952.22522631579,418
7700,385000,385000,100%,13589,11581,30,7536.225924675325,542
7800,390000,390000,100%,13243,10973,154,7082.080894871795,307
7900,395000,395000,100%,13461,11591,31,7345.154665822784,243
8000,400000,400000,100%,13465,11791,32,7403.39292,500
8100,405000,405000,100%,13918,12128,44,7759.869325925926,600
8200,410000,410000,100%,13744,11847,35,7544.850590243903,183
8300,415000,415000,100%,14276,12092,36,7933.063301204819,279
8400,420000,420000,100%,14426,12964,52,8011.864828571429,158
8500,425000,425000,100%,14374,12312,168,8375.679830588235,269
8600,430000,430000,100%,14195,11979,57,7846.019093023256,901
8700,435000,435000,100%,14203,11950,174,7821.495606896552,658
8800,440000,440000,100%,15119,12935,173,8315.013334090909,406
8900,445000,445000,100%,15229,13655,175,8571.674856179776,326
9000,450000,450000,100%,15279,13666,3785,8934.762986666667,269
9100,455000,455000,100%,14953,12750,180,8331.669758241758,863
9200,460000,460000,100%,16073,13967,3788,8828.140476086957,602
9300,465000,465000,100%,15906,13568,184,8918.047920430108,57
9400,470000,470000,100%,16230,13252,3761,8684.106238297873,751
9500,475000,475000,100%,16418,14289,191,9022.81215368421,235
9600,480000,480000,100%,16244,13801,190,8979.707808333333,841
9700,485000,485000,100%,17146,14526,189,9275.89175257732,344
9800,490000,490000,100%,16891,15018,26,9527.90593877551,57
9900,495000,495000,100%,17869,16230,197,9921.987911111111,115
10000,500000,500000,100%,18169,15766,38,9674.57055,1088
