clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,159,157,19,85.3884,78
200,10000,10000,100%,270,227,14,138.166,71
300,15000,15000,100%,407,339,4,212.35726666666667,58
400,20000,20000,100%,743,743,4,418.5563,46
500,25000,25000,100%,677,555,183,358.21276,64
600,30000,30000,100%,819,688,5,431.66363333333334,44
700,35000,35000,100%,943,763,3,494.9512857142857,422
800,40000,40000,100%,1091,877,5,571.593575,47
900,45000,45000,100%,1227,1002,320,640.2061111111111,52
1000,50000,50000,100%,1344,1125,351,710.26834,51
1100,55000,55000,100%,1482,1255,9,789.9134363636364,70
1200,60000,60000,100%,1628,1362,9,869.4694833333333,56
1300,65000,65000,100%,1766,1486,10,946.4370461538462,58
1400,70000,70000,100%,1890,1579,492,1016.6314428571428,48
1500,75000,75000,100%,2039,1680,8,1086.6974133333333,85
1600,80000,80000,100%,2196,1787,11,1151.6369125,47
1700,85000,85000,100%,2318,1917,31,1219.1626117647058,51
1800,90000,90000,100%,2480,2029,16,1311.0561,51
1900,95000,95000,100%,2595,2126,12,1359.9469894736842,72
2000,100000,100000,100%,2772,2308,10,1479.74511,101
2100,105000,105000,100%,2901,2485,16,1551.8814571428572,93
2200,110000,110000,100%,3018,2538,764,1605.6105181818182,50
2300,115000,115000,100%,3154,2652,5,1656.4807217391303,46
2400,120000,120000,100%,3306,2780,28,1721.0239666666666,58
2500,125000,125000,100%,3519,2954,15,1849.933024,54
2600,130000,130000,100%,3643,3023,17,1929.8387,81
2700,135000,135000,100%,3739,3109,963,1959.651037037037,65
2800,140000,140000,100%,3889,3214,12,2044.96265,60
2900,145000,145000,100%,3998,3389,12,2134.7936137931033,62
3000,150000,150000,100%,4206,3513,13,2190.49902,173
3100,155000,155000,100%,4346,3531,25,2281.59924516129,49
3200,160000,160000,100%,4526,3659,22,2347.2792125,59
3300,165000,165000,100%,4727,3998,36,2453.029393939394,78
3400,170000,170000,100%,4872,4123,42,2575.5329117647057,62
3500,175000,175000,100%,4927,4025,32,2586.2018914285713,71
3600,180000,180000,100%,5066,4120,18,2664.291961111111,54
3700,185000,185000,100%,5297,4401,52,2808.9552486486486,160
3800,190000,190000,100%,5375,4449,75,2853.529957894737,67
3900,195000,195000,100%,5456,4559,1444,2891.070969230769,58
4000,200000,200000,100%,5680,4646,83,2963.484615,46
4100,205000,205000,100%,5820,4710,12,2981.5158878048783,316
4200,210000,210000,100%,5936,4795,12,3068.7170142857144,85
4300,215000,215000,100%,6130,5109,96,3202.0593906976746,159
4400,220000,220000,100%,6350,5045,23,3210.322509090909,166
4500,225000,225000,100%,6429,5419,1707,3345.479297777778,54
4600,230000,230000,100%,6681,5478,29,3463.450034782609,332
4700,235000,235000,100%,6752,5636,85,3511.382178723404,104
4800,240000,240000,100%,6842,5590,27,3592.2832083333333,107
4900,245000,245000,100%,6924,5578,86,3648.593118367347,74
5000,250000,250000,100%,7184,5950,38,3751.75428,233
5100,255000,255000,100%,7227,5915,51,3764.6247333333336,60
5200,260000,260000,100%,7524,6342,36,4007.1366615384613,121
5300,265000,265000,100%,7699,6350,1906,4008.1776867924527,62
5400,270000,270000,100%,7853,6622,34,4241.884403703703,107
5500,275000,275000,100%,7752,6460,22,4069.93132,130
5600,280000,280000,100%,8246,6889,107,4441.656042857143,71
5700,285000,285000,100%,8107,6600,2071,4255.3594912280705,87
5800,290000,290000,100%,8343,7161,29,4465.576424137931,276
5900,295000,295000,100%,8282,6784,26,4324.801810169492,150
6000,300000,300000,100%,8574,7063,36,4500.16168,511
6100,305000,305000,100%,8873,7218,119,4540.996068852459,49
6200,310000,310000,100%,8942,7316,36,4596.91894516129,50
6300,315000,315000,100%,9128,7607,71,4713.976438095238,59
6400,320000,320000,100%,9078,7486,104,4710.8219625,46
6500,325000,325000,100%,9510,7903,26,4909.189603076923,66
6600,330000,330000,100%,10030,8171,2400,4926.486224242424,53
6700,335000,335000,100%,10108,8469,125,5028.656764179104,62
6800,340000,340000,100%,10187,8558,32,5275.690876470589,49
6900,345000,345000,100%,10295,8501,135,5203.802753623188,79
7000,350000,350000,100%,10679,8750,138,5372.45712,81
7100,355000,355000,100%,10908,9117,142,5466.939225352113,69
7200,360000,360000,100%,10808,8923,150,5444.518261111111,109
7300,365000,365000,100%,11122,9428,147,5697.182871232877,192
7400,370000,370000,100%,11163,9355,143,5678.622043243243,120
7500,375000,375000,100%,11270,9600,39,5816.429616,159
7600,380000,380000,100%,11557,9201,156,5837.332307894737,168
7700,385000,385000,100%,11633,9567,40,6013.602293506494,161
7800,390000,390000,100%,11620,9925,42,6004.194387179487,147
7900,395000,395000,100%,11913,9825,25,6252.744275949367,118
8000,400000,400000,100%,12099,9897,165,6292.083235,121
8100,405000,405000,100%,12260,10273,2949,6448.669466666666,165
8200,410000,410000,100%,12322,10342,28,6446.803251219512,140
8300,415000,415000,100%,12451,10377,166,6554.6507084337345,120
8400,420000,420000,100%,13257,10992,38,7015.880092857143,309
8500,425000,425000,100%,12996,10985,167,6940.9151858823525,175
8600,430000,430000,100%,13014,10676,48,6848.760488372093,435
8700,435000,435000,100%,13169,10923,179,6903.19180229885,166
8800,440000,440000,100%,13507,11291,40,7244.641111363637,558
8900,445000,445000,100%,13426,11359,37,7101.409660674158,491
9000,450000,450000,100%,13679,11501,39,7259.269824444445,623
9100,455000,455000,100%,13753,11384,37,7335.254747252748,370
9200,460000,460000,100%,13794,11989,53,7441.675997826087,218
9300,465000,465000,100%,14155,12211,32,7604.382479569893,232
9400,470000,470000,100%,14399,11806,42,7426.547961702127,421
9500,475000,475000,100%,14389,11894,207,7584.682490526316,184
9600,480000,480000,100%,14656,12273,191,7697.9104625,81
9700,485000,485000,100%,14870,12270,212,7677.617558762887,579
9800,490000,490000,100%,14874,12386,195,7866.011471428571,132
9900,495000,495000,100%,15155,12836,217,8142.911323232323,107
10000,500000,500000,100%,15186,12722,3916,7923.180818,123
