clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,290,210,64,120.4954,83
200,10000,10000,100%,652,562,82,299.5771,63
300,15000,15000,100%,940,785,142,429.2581333333333,65
400,20000,20000,100%,1204,1039,152,541.23545,53
500,25000,25000,100%,1531,1331,184,684.35444,54
600,30000,30000,100%,1829,1577,227,820.9517333333333,51
700,35000,35000,100%,2130,1849,259,960.4038285714286,54
800,40000,40000,100%,2454,2106,310,1094.60855,48
900,45000,45000,100%,2812,2428,356,1257.8486,51
1000,50000,50000,100%,3150,2719,386,1391.70418,56
1100,55000,55000,100%,3437,2976,239,1537.2730545454544,69
1200,60000,60000,100%,3795,3306,448,1692.93285,73
1300,65000,65000,100%,4135,3596,496,1846.3997538461538,66
1400,70000,70000,100%,4508,3934,527,1999.9991,46
1500,75000,75000,100%,4843,4222,560,2162.98324,80
1600,80000,80000,100%,5236,4556,613,2311.32365,60
1700,85000,85000,100%,5389,4694,646,2414.8395294117645,93
1800,90000,90000,100%,6121,5386,698,2797.5785666666666,59
1900,95000,95000,100%,6257,5447,735,2813.3844842105264,72
2000,100000,100000,100%,6590,5762,768,2916.26173,50
2100,105000,105000,100%,6987,6105,806,3122.5920571428574,64
2200,110000,110000,100%,7177,6268,822,3230.594136363636,53
2300,115000,115000,100%,7652,6693,870,3466.5431217391306,81
2400,120000,120000,100%,8352,7349,924,3797.09915,103
2500,125000,125000,100%,8899,7881,977,4187.06996,56
2600,130000,130000,100%,9110,8019,1009,4155.499653846154,410
2700,135000,135000,100%,9554,8439,1036,4397.776422222222,60
2800,140000,140000,100%,10012,8845,1089,4564.838671428572,57
2900,145000,145000,100%,10319,9114,1128,4714.868731034483,251
3000,150000,150000,100%,10661,9401,1172,4888.6886466666665,163
3100,155000,155000,100%,11103,9836,1185,5097.754206451613,120
3200,160000,160000,100%,11605,10275,246,5285.7134375,349
3300,165000,165000,100%,11789,10396,1290,5390.3148121212125,46
3400,170000,170000,100%,12404,10991,1329,5685.297552941176,48
3500,175000,175000,100%,12809,11340,1361,5868.299508571428,536
3600,180000,180000,100%,13038,11503,1421,5953.6450888888885,53
3700,185000,185000,100%,13371,11808,1454,6139.786459459459,222
3800,190000,190000,100%,13610,12022,1488,6347.992621052632,480
3900,195000,195000,100%,14341,12691,1516,6596.860487179487,48
4000,200000,200000,100%,14724,13024,1579,6732.901615,465
4100,205000,205000,100%,14904,13170,1611,6835.858170731707,44
4200,210000,210000,100%,15170,13407,1649,7073.710085714286,47
4300,215000,215000,100%,15737,13928,1754,7332.018986046512,280
4400,220000,220000,100%,16431,14577,1776,7585.895636363636,777
4500,225000,225000,100%,16479,14596,1752,7641.451106666666,725
4600,230000,230000,100%,17320,15292,1968,7931.105273913044,610
4700,235000,235000,100%,16997,15028,1814,7863.29850212766,273
4800,240000,240000,100%,17442,15414,1931,8127.7927625,181
4900,245000,245000,100%,17645,15559,1929,8253.848640816326,739
5000,250000,250000,100%,18669,16551,1965,8608.5441,1225
5100,255000,255000,100%,18631,16482,1982,8691.667062745099,921
5200,260000,260000,100%,19257,17082,2016,8947.601915384615,1005
5300,265000,265000,100%,20116,17770,2189,9291.699984905661,394
5400,270000,270000,100%,20533,18268,2164,9460.932614814816,927
5500,275000,275000,100%,20721,18387,2210,9516.607967272726,464
5600,280000,280000,100%,21224,18862,2272,9757.311292857143,575
5700,285000,285000,100%,21875,19320,220,10114.72907017544,1176
5800,290000,290000,100%,22122,19716,2316,10276.295748275863,780
5900,295000,295000,100%,22353,19869,2302,10356.965311864407,1395
6000,300000,300000,100%,22035,19470,194,10418.42545,1443
6100,305000,305000,100%,23340,20629,2598,10720.6784,1653
6200,310000,310000,100%,23208,20623,2406,10940.702170967741,1308
6300,315000,315000,100%,23943,21279,2563,11092.681574603175,1609
6400,320000,320000,100%,24185,21482,2602,11290.017921875,1136
6500,325000,325000,100%,25016,22138,2783,11511.989061538461,1390
6600,330000,330000,100%,24996,22216,2677,11635.243633333333,914
6700,335000,335000,100%,25387,22426,2842,11716.4145880597,1170
6800,340000,340000,100%,25280,22402,2772,11986.81804117647,1402
6900,345000,345000,100%,26603,23696,2814,12409.287063768115,1916
7000,350000,350000,100%,25789,22672,2887,12192.64263142857,2227
7100,355000,355000,100%,26671,23688,2876,12721.919594366198,2297
7200,360000,360000,100%,27648,24608,93,12905.083622222222,3022
7300,365000,365000,100%,27571,24469,2967,13009.552293150686,2126
7400,370000,370000,100%,28045,24794,3132,13220.71941081081,2309
7500,375000,375000,100%,27913,24736,3024,13073.532408,2871
7600,380000,380000,100%,29074,25887,3086,13561.589078947369,2782
7700,385000,385000,100%,30041,26615,3302,13854.285535064935,2530
7800,390000,390000,100%,30152,26868,3173,13973.296535897436,2005
7900,395000,395000,100%,29832,26470,3247,13961.256197468354,2394
8000,400000,400000,100%,30704,27322,3275,14459.14102,2596
8100,405000,405000,100%,31003,27396,3345,14461.13567654321,2983
8200,410000,410000,100%,31678,28178,3376,14728.976229268294,2262
8300,415000,415000,100%,31648,28118,3415,15042.89748192771,2705
8400,420000,420000,100%,32215,28426,3651,14917.286654761905,3128
8500,425000,425000,100%,33100,29510,3461,15471.550077647058,3069
8600,430000,430000,100%,32933,29257,3560,15171.280255813954,3121
8700,435000,435000,100%,33734,29711,3858,15621.92047356322,3385
8800,440000,440000,100%,33719,29825,3771,15767.25010909091,3200
8900,445000,445000,100%,35033,30886,3968,15995.390361797752,3874
9000,450000,450000,100%,34736,30549,4026,16221.936148888888,3083
9100,455000,455000,100%,35034,30793,4048,16112.306683516483,3373
9200,460000,460000,100%,35171,30957,4132,16424.442343478262,3316
9300,465000,465000,100%,34797,30541,4103,16518.623643010753,3971
9400,470000,470000,100%,35154,30812,4174,16678.22449787234,5243
9500,475000,475000,100%,36687,32286,4194,16832.969677894736,5525
9600,480000,480000,100%,37387,32943,4283,17130.185995833333,3921
9700,485000,485000,100%,37380,33054,4237,17548.52720412371,5021
9800,490000,490000,100%,37641,33140,4353,17530.05121632653,4231
9900,495000,495000,100%,38194,33656,4364,17696.515486868688,4342
10000,500000,500000,100%,38080,33464,4439,17812.070366,4929
