clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,173,171,19,89.4016,67
200,10000,10000,100%,131,130,5,71.7533,55
300,15000,15000,100%,204,203,3,103.41273333333334,54
400,20000,20000,100%,193,192,16,110.65945,30
500,25000,25000,100%,225,223,25,126.3208,52
600,30000,30000,100%,289,280,34,154.63386666666668,31
700,35000,35000,100%,341,340,29,188.4994,29
800,40000,40000,100%,393,390,39,226.884125,27
900,45000,45000,100%,457,423,42,260.0878222222222,26
1000,50000,50000,100%,469,466,53,272.31148,29
1100,55000,55000,100%,559,557,51,315.20836363636363,44
1200,60000,60000,100%,638,635,53,352.4904,25
1300,65000,65000,100%,676,674,50,365.4819692307692,32
1400,70000,70000,100%,702,699,67,396.4728285714286,24
1500,75000,75000,100%,778,777,69,452.7174533333333,25
1600,80000,80000,100%,869,837,60,492.374075,37
1700,85000,85000,100%,900,894,74,497.4608,27
1800,90000,90000,100%,992,988,67,527.4237888888889,25
1900,95000,95000,100%,1035,983,61,548.9292842105264,41
2000,100000,100000,100%,1029,1024,78,542.66442,22
2100,105000,105000,100%,1117,1114,75,596.8869428571429,45
2200,110000,110000,100%,1192,1189,93,660.9256727272727,32
2300,115000,115000,100%,1264,1260,70,685.2026608695652,27
2400,120000,120000,100%,1303,1274,74,713.20155,26
2500,125000,125000,100%,1370,1366,82,750.851576,27
2600,130000,130000,100%,1413,1367,92,741.9187230769231,32
2700,135000,135000,100%,1434,1429,85,782.0907259259259,31
2800,140000,140000,100%,1582,1555,96,833.2367642857142,26
2900,145000,145000,100%,1569,1563,106,851.8382620689655,27
3000,150000,150000,100%,1711,1677,94,927.8809733333334,26
3100,155000,155000,100%,1772,1767,104,944.2360387096775,25
3200,160000,160000,100%,1863,1794,144,1019.116125,21
3300,165000,165000,100%,1930,1927,104,1050.2887696969697,22
3400,170000,170000,100%,2055,1996,98,1108.6640235294117,20
3500,175000,175000,100%,2143,2139,112,1153.4431257142858,26
3600,180000,180000,100%,2182,2092,122,1159.5630277777777,26
3700,185000,185000,100%,2258,2254,109,1209.440162162162,26
3800,190000,190000,100%,2245,2239,138,1202.7319631578948,32
3900,195000,195000,100%,2284,2229,133,1238.7279025641026,56
4000,200000,200000,100%,2324,2320,122,1273.71261,27
4100,205000,205000,100%,2399,2393,35,1314.3394536585365,84
4200,210000,210000,100%,2456,2400,166,1326.6771380952382,24
4300,215000,215000,100%,2741,2737,122,1444.7169069767442,27
4400,220000,220000,100%,2594,2583,123,1349.1642181818181,28
4500,225000,225000,100%,2767,2759,59,1535.7028444444445,23
4600,230000,230000,100%,2717,2709,175,1442.2895260869566,29
4700,235000,235000,100%,2808,2795,130,1467.964744680851,21
4800,240000,240000,100%,2983,2932,161,1593.2499333333333,26
4900,245000,245000,100%,3247,3214,145,1710.0197469387756,24
5000,250000,250000,100%,3102,3093,131,1573.296512,25
5100,255000,255000,100%,2973,2962,207,1627.0275882352942,29
5200,260000,260000,100%,3111,3058,160,1705.2210076923077,21
5300,265000,265000,100%,3614,3566,140,1873.494437735849,21
5400,270000,270000,100%,3443,3418,142,1754.3817925925925,21
5500,275000,275000,100%,3231,3221,190,1695.17644,32
5600,280000,280000,100%,3411,3401,216,1848.4161964285715,25
5700,285000,285000,100%,3540,3483,191,1914.8846771929825,22
5800,290000,290000,100%,3703,3612,196,1953.5891344827587,20
5900,295000,295000,100%,3750,3694,193,1987.7291050847457,29
6000,300000,300000,100%,3887,3837,188,2086.1979666666666,38
6100,305000,305000,100%,3821,3751,191,1984.2046229508196,22
6200,310000,310000,100%,3950,3890,112,2068.381429032258,24
6300,315000,315000,100%,3689,3631,260,1944.281926984127,22
6400,320000,320000,100%,4166,4118,190,2213.15435625,21
6500,325000,325000,100%,4304,4265,220,2187.7868861538464,20
6600,330000,330000,100%,3902,3816,275,2046.2448484848485,22
6700,335000,335000,100%,4418,4352,203,2265.4702,27
6800,340000,340000,100%,4374,4291,243,2349.4714088235296,23
6900,345000,345000,100%,4655,4488,247,2487.2966782608696,21
7000,350000,350000,100%,4754,4685,250,2526.946297142857,20
7100,355000,355000,100%,4938,4486,397,2666.1983633802815,21
7200,360000,360000,100%,5283,5154,304,2748.5322083333335,29
7300,365000,365000,100%,5194,5037,309,2739.8205945205477,28
7400,370000,370000,100%,5398,5287,338,2889.8863243243245,21
7500,375000,375000,100%,5406,5258,307,2864.1555333333336,24
7600,380000,380000,100%,5520,5424,155,2888.9597763157894,20
7700,385000,385000,100%,5518,5347,347,2930.255994805195,24
7800,390000,390000,100%,5642,5539,166,2948.1727666666666,32
7900,395000,395000,100%,5854,5527,345,3042.501870886076,20
8000,400000,400000,100%,5791,5589,343,3092.3176175,20
8100,405000,405000,100%,5927,5739,348,3214.837316049383,25
8200,410000,410000,100%,6040,5704,375,3114.0861658536587,40
8300,415000,415000,100%,5955,5807,372,3165.045501204819,23
8400,420000,420000,100%,6078,5980,177,3241.7894071428573,23
8500,425000,425000,100%,6064,5533,352,3223.2383223529414,25
8600,430000,430000,100%,6378,6349,206,3286.738351162791,21
8700,435000,435000,100%,6164,6006,388,3283.6487333333334,26
8800,440000,440000,100%,6316,6289,201,3295.4546954545453,26
8900,445000,445000,100%,6567,6550,217,3501.730629213483,23
9000,450000,450000,100%,6520,6154,407,3399.5509044444443,20
9100,455000,455000,100%,6712,6692,211,3515.739356043956,20
9200,460000,460000,100%,6981,6952,233,3695.455589130435,23
9300,465000,465000,100%,6484,6355,439,3534.204451612903,23
9400,470000,470000,100%,6787,6532,394,3611.5518765957445,22
9500,475000,475000,100%,6913,6808,213,3708.0243705263156,21
9600,480000,480000,100%,7033,6931,195,3736.42363125,26
9700,485000,485000,100%,6967,6866,204,3677.55746185567,21
9800,490000,490000,100%,7282,7255,244,3910.8514979591837,20
9900,495000,495000,100%,6632,6166,402,3518.988511111111,22
10000,500000,500000,100%,7146,7034,209,3744.538232,22
