clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,154,152,31,83.5992,72
200,10000,10000,100%,356,265,75,164.0513,67
300,15000,15000,100%,528,381,1,234.64646666666667,56
400,20000,20000,100%,707,533,3,322.90635,46
500,25000,25000,100%,888,670,178,412.87624,67
600,30000,30000,100%,1068,805,5,492.59503333333333,44
700,35000,35000,100%,1285,964,184,598.2260571428571,52
800,40000,40000,100%,1436,1096,286,657.637725,56
900,45000,45000,100%,1611,1201,327,731.3106,45
1000,50000,50000,100%,1791,1348,7,828.5999,47
1100,55000,55000,100%,1981,1507,8,917.4333272727273,66
1200,60000,60000,100%,2181,1676,7,1002.1089666666667,52
1300,65000,65000,100%,2346,1776,450,1076.274523076923,43
1400,70000,70000,100%,2546,1947,9,1178.944557142857,46
1500,75000,75000,100%,2741,2086,13,1270.26748,47
1600,80000,80000,100%,2976,2277,8,1376.285225,56
1700,85000,85000,100%,3085,2359,10,1425.7215058823529,54
1800,90000,90000,100%,3260,2510,8,1519.9528666666668,54
1900,95000,95000,100%,3577,2743,687,1595.2869473684211,56
2000,100000,100000,100%,3659,2772,16,1674.33381,47
2100,105000,105000,100%,3841,2914,15,1759.8714761904762,72
2200,110000,110000,100%,4137,3191,19,1886.3778363636363,40
2300,115000,115000,100%,4293,3275,18,1961.2436434782608,66
2400,120000,120000,100%,4425,3374,19,2018.3188,59
2500,125000,125000,100%,4608,3498,20,2110.148192,159
2600,130000,130000,100%,4799,3655,23,2181.177446153846,62
2700,135000,135000,100%,4964,3773,958,2248.3122518518517,159
2800,140000,140000,100%,5222,3967,28,2364.6775214285713,53
2900,145000,145000,100%,5566,4295,1096,2597.7064827586205,56
3000,150000,150000,100%,5507,4192,28,2509.6635133333334,160
3100,155000,155000,100%,5791,4398,24,2619.2478322580646,276
3200,160000,160000,100%,6148,4729,1189,2797.11209375,131
3300,165000,165000,100%,6112,4648,38,2805.657781818182,68
3400,170000,170000,100%,6421,4926,35,3014.2633,151
3500,175000,175000,100%,6497,4925,1282,2978.0425714285716,210
3600,180000,180000,100%,6702,5123,1285,3069.8332,436
3700,185000,185000,100%,7036,5385,293,3224.689237837838,234
3800,190000,190000,100%,7440,5738,43,3395.3313789473686,83
3900,195000,195000,100%,7492,5766,1435,3427.765364102564,95
4000,200000,200000,100%,7763,5982,64,3495.94536,79
4100,205000,205000,100%,8054,6201,41,3572.327448780488,240
4200,210000,210000,100%,7942,6087,20,3587.5825333333332,228
4300,215000,215000,100%,8111,6181,67,3732.1588744186047,229
4400,220000,220000,100%,8584,6620,20,4049.345768181818,94
4500,225000,225000,100%,8560,6547,43,3928.124457777778,316
4600,230000,230000,100%,8751,6667,25,3936.9103,274
4700,235000,235000,100%,9203,7095,24,4264.585506382979,302
4800,240000,240000,100%,9077,6911,25,4123.349941666666,99
4900,245000,245000,100%,9586,7421,57,4360.4532,463
5000,250000,250000,100%,9804,7561,1862,4402.287172,53
5100,255000,255000,100%,9799,7412,78,4481.159247058824,206
5200,260000,260000,100%,10036,7727,1957,4682.201057692308,52
5300,265000,265000,100%,10179,7798,1953,4508.175203773585,577
5400,270000,270000,100%,10502,8063,100,4758.893088888889,319
5500,275000,275000,100%,10512,7917,118,4602.144214545455,46
5600,280000,280000,100%,10855,8355,124,4901.912485714286,412
5700,285000,285000,100%,11071,8503,2070,4866.955049122807,249
5800,290000,290000,100%,11638,9017,116,5181.5185862068965,90
5900,295000,295000,100%,12034,9260,31,5468.5782881355935,163
6000,300000,300000,100%,12192,9544,127,5573.95741,151
6100,305000,305000,100%,12644,9938,29,5785.366436065574,535
6200,310000,310000,100%,12696,9876,134,5497.592516129032,425
6300,315000,315000,100%,12486,9690,2271,5554.372552380953,893
6400,320000,320000,100%,13486,10623,125,6058.790503125,174
6500,325000,325000,100%,13227,10151,44,5866.34888,252
6600,330000,330000,100%,13542,10592,34,5962.96616969697,394
6700,335000,335000,100%,13298,10241,121,5920.314564179104,149
6800,340000,340000,100%,14010,10899,34,6078.042723529412,538
6900,345000,345000,100%,14131,11061,35,6300.80375942029,869
7000,350000,350000,100%,14614,11482,36,6349.440817142857,212
7100,355000,355000,100%,14263,10889,151,6398.560718309859,257
7200,360000,360000,100%,15059,11833,66,6532.956419444445,1042
7300,365000,365000,100%,15215,11923,160,6740.635002739726,600
7400,370000,370000,100%,15522,12179,162,6936.728456756757,628
7500,375000,375000,100%,15161,11687,172,6847.385752,42
7600,380000,380000,100%,16398,12989,147,7661.5834894736845,803
7700,385000,385000,100%,15257,11732,150,7046.453527272727,781
7800,390000,390000,100%,16196,12431,156,7447.867358974359,1371
7900,395000,395000,100%,16398,12866,3124,7612.30828607595,584
8000,400000,400000,100%,16482,12850,158,7544.59899,1239
8100,405000,405000,100%,16856,13121,159,7926.6012395061725,822
8200,410000,410000,100%,17514,13656,192,7827.216473170732,620
8300,415000,415000,100%,17190,13549,164,7987.060012048193,541
8400,420000,420000,100%,18438,14780,594,8820.671097619048,1175
8500,425000,425000,100%,18119,14250,1010,8147.459574117647,1156
8600,430000,430000,100%,18012,14143,167,8202.221788372093,1541
8700,435000,435000,100%,18322,14491,168,8474.349618390805,1622
8800,440000,440000,100%,18592,14445,196,8756.082172727272,1901
8900,445000,445000,100%,19368,15406,176,8768.124271910112,2138
9000,450000,450000,100%,18818,14819,3502,8573.882033333333,1597
9100,455000,455000,100%,19032,14688,209,8576.97340879121,3025
9200,460000,460000,100%,20197,16167,204,9397.592128260869,2092
9300,465000,465000,100%,20329,16182,199,9169.533883870969,585
9400,470000,470000,100%,19784,15518,187,8940.36195106383,1430
9500,475000,475000,100%,19770,15403,214,8982.650303157894,2797
9600,480000,480000,100%,19589,15288,212,8732.038929166667,3184
9700,485000,485000,100%,19966,15566,201,8846.19787628866,3202
9800,490000,490000,100%,20212,15529,216,9021.020330612246,3644
9900,495000,495000,100%,20345,15891,217,9013.642787878787,3414
10000,500000,500000,100%,20573,16044,218,9133.927244,3421
