clients,count,total,percentage,time,longest,shortest,average,connection_time
100,5000,5000,100%,164,162,26,92.4934,102
200,10000,10000,100%,258,247,10,110.9537,66
300,15000,15000,100%,392,365,2,162.9496,83
400,20000,20000,100%,526,496,4,223.56875,44
500,25000,25000,100%,663,635,3,281.83252,67
600,30000,30000,100%,806,776,9,348.4051333333333,52
700,35000,35000,100%,930,913,5,397.51948571428574,43
800,40000,40000,100%,1074,1046,4,454.983575,39
900,45000,45000,100%,1212,1178,31,523.7558444444444,38
1000,50000,50000,100%,1366,1315,30,573.24858,39
1100,55000,55000,100%,1478,1418,7,640.8311272727273,74
1200,60000,60000,100%,1621,1606,15,699.87565,36
1300,65000,65000,100%,1753,1700,8,747.0179692307693,43
1400,70000,70000,100%,1881,1806,10,804.2889857142857,40
1500,75000,75000,100%,2020,1979,12,871.3441733333333,41
1600,80000,80000,100%,2161,2132,71,922.624525,41
1700,85000,85000,100%,2311,2281,7,969.999,42
1800,90000,90000,100%,2465,2403,44,1042.4064222222223,41
1900,95000,95000,100%,2591,2566,52,1086.4757157894737,44
2000,100000,100000,100%,2748,2726,54,1163.1283,39
2100,105000,105000,100%,2855,2821,15,1199.0641523809525,70
2200,110000,110000,100%,3000,2952,13,1258.6309181818183,43
2300,115000,115000,100%,3174,3172,19,1321.7882260869565,38
2400,120000,120000,100%,3288,3263,44,1393.9081583333334,44
2500,125000,125000,100%,3422,3408,17,1468.66596,34
2600,130000,130000,100%,3571,3559,7,1511.444553846154,40
2700,135000,135000,100%,3687,3663,13,1540.3330666666666,50
2800,140000,140000,100%,3813,3780,13,1590.7964,34
2900,145000,145000,100%,3977,3931,50,1690.528372413793,42
3000,150000,150000,100%,4100,4072,15,1722.0936666666666,46
3100,155000,155000,100%,4280,4246,18,1808.7262258064516,41
3200,160000,160000,100%,4443,4417,26,1862.03344375,40
3300,165000,165000,100%,4652,4615,31,1936.3242424242424,37
3400,170000,170000,100%,4846,4832,44,2069.206576470588,39
3500,175000,175000,100%,4918,4904,54,2091.2625542857145,40
3600,180000,180000,100%,5117,5090,67,2177.1889444444446,49
3700,185000,185000,100%,5196,5176,104,2219.037372972973,38
3800,190000,190000,100%,5368,5320,74,2275.455115789474,44
3900,195000,195000,100%,5503,5458,87,2310.332369230769,35
4000,200000,200000,100%,5636,5619,83,2384.64165,42
4100,205000,205000,100%,5785,5722,117,2450.947526829268,42
4200,210000,210000,100%,5912,5847,88,2520.678957142857,40
4300,215000,215000,100%,6069,6062,22,2553.6033953488372,197
4400,220000,220000,100%,6210,6180,21,2612.0843045454544,37
4500,225000,225000,100%,6391,6359,91,2706.145191111111,37
4600,230000,230000,100%,6493,6473,24,2703.842613043478,33
4700,235000,235000,100%,6627,6599,22,2821.689655319149,35
4800,240000,240000,100%,6806,6804,28,2858.3578625,37
4900,245000,245000,100%,6918,6907,97,2907.238073469388,37
5000,250000,250000,100%,7117,7111,33,3014.493012,38
5100,255000,255000,100%,7302,7296,99,3076.393537254902,36
5200,260000,260000,100%,7430,7367,32,3128.7517807692307,36
5300,265000,265000,100%,7782,7730,161,3212.9574490566038,37
5400,270000,270000,100%,7667,7659,34,3226.5031296296297,44
5500,275000,275000,100%,7818,7805,26,3275.7042181818183,196
5600,280000,280000,100%,8199,8150,109,3393.704192857143,37
5700,285000,285000,100%,8158,8137,39,3432.3263614035086,49
5800,290000,290000,100%,8304,8297,27,3514.741906896552,36
5900,295000,295000,100%,8671,8662,108,3582.008579661017,34
6000,300000,300000,100%,8824,8779,74,3597.7893033333335,39
6100,305000,305000,100%,8992,8942,92,3752.033449180328,46
6200,310000,310000,100%,9136,9091,34,3763.0032774193546,39
6300,315000,315000,100%,9250,9206,31,3880.6608476190477,38
6400,320000,320000,100%,9461,9436,35,3929.027284375,39
6500,325000,325000,100%,9611,9598,127,3990.9799753846155,38
6600,330000,330000,100%,9768,9751,131,4108.641903030303,60
6700,335000,335000,100%,9996,9954,142,4146.899874626865,33
6800,340000,340000,100%,10158,10151,140,4297.80515,38
6900,345000,345000,100%,10319,10290,150,4311.695124637681,39
7000,350000,350000,100%,10389,10352,147,4365.440702857143,37
7100,355000,355000,100%,10617,10589,146,4442.660684507042,35
7200,360000,360000,100%,10740,10732,154,4477.856722222222,37
7300,365000,365000,100%,10934,10888,281,4629.737936986301,42
7400,370000,370000,100%,11149,11090,157,4682.276364864865,37
7500,375000,375000,100%,11293,11270,168,4727.770752,41
7600,380000,380000,100%,11464,11432,160,4849.274815789474,34
7700,385000,385000,100%,11504,11452,162,4825.586072727273,54
7800,390000,390000,100%,11680,11640,236,4925.5156307692305,37
7900,395000,395000,100%,11679,11614,170,4946.388764556962,33
8000,400000,400000,100%,11782,11760,167,4917.0027025,39
8100,405000,405000,100%,11992,11932,168,5053.956088888889,33
8200,410000,410000,100%,12124,12076,175,5158.520095121951,63
8300,415000,415000,100%,12279,12177,179,5146.206886746988,52
8400,420000,420000,100%,12402,12360,190,5222.183185714286,38
8500,425000,425000,100%,12650,12645,176,5352.291327058823,38
8600,430000,430000,100%,12691,12681,182,5293.797618604651,45
8700,435000,435000,100%,12835,12812,175,5445.762551724138,36
8800,440000,440000,100%,13049,13033,184,5458.056922727273,44
8900,445000,445000,100%,13184,13097,42,5557.343211235955,383
9000,450000,450000,100%,13403,13369,200,5622.075191111111,36
9100,455000,455000,100%,13786,13739,40,5782.303876923077,186
9200,460000,460000,100%,13745,13677,78,5909.366819565217,364
9300,465000,465000,100%,13976,13965,43,5868.226260215054,207
9400,470000,470000,100%,14108,14069,109,5945.969293617021,83
9500,475000,475000,100%,13971,13895,49,5928.614934736842,39
9600,480000,480000,100%,14147,14119,52,5906.0866166666665,47
9700,485000,485000,100%,14281,14250,132,6035.847684536083,41
9800,490000,490000,100%,14761,14740,210,6093.171618367347,40
9900,495000,495000,100%,15112,15077,241,6222.607250505051,40
10000,500000,500000,100%,15324,15235,217,6311.165858,39
